City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,mahebourg,-20.41,57.7,79.0,78,40,12.75,MU,1586195255
203,leningradskiy,69.38,178.42,-6.34,77,48,4.76,RU,1586195069
204,kloulklubed,7.04,134.26,73.4,88,40,3.36,PW,1586195255
205,dingle,11.0,122.67,75.74,74,6,8.52,PH,1586195197
206,tessalit,20.2,1.01,91.02,9,0,10.89,ML,1586195256
207,qaqortoq,60.72,-46.03,28.4,39,20,9.17,GL,1586195256
208,forestville,38.85,-76.88,69.01,36,1,6.93,US,1586195146
209,cairns,-16.92,145.77,75.2,88,30,9.17,AU,1586195257
210,sorsk,54.0,90.25,36.39,62,54,3.85,RU,1586195257
211,rabat,33.99,-6.84,68.0,77,40,9.17,MA,1586195257
212,cacador,-26.78,-51.02,64.2,73,100,2.68,BR,1586195257
213,portland,45.52,-122.68,54.0,70,75,1.81,US,1586195131
214,sambava,-14.27,50.17,76.66,86,2,5.99,MG,1586195257
215,padang,-0.95,100.35,76.15,79,100,3.51,ID,1586195038
216,buraydah,26.33,43.98,89.6,38,75,4.7,SA,1586195257
217,tuatapere,-46.13,167.68,53.01,93,92,4.7,NZ,1586195257
218,barillas,15.8,-91.32,81.37,27,1,5.03,GT,1586195258
219,east london,-33.02,27.91,67.05,64,80,21.79,ZA,1586195258
220,cabedelo,-6.98,-34.83,89.6,70,40,12.75,BR,1586195258
221,tupiza,-21.45,-65.72,69.15,14,18,13.65,BO,1586195258
222,sao felix do xingu,-6.64,-51.99,90.34,57,97,4.54,BR,1586195258
223,hasaki,35.73,140.83,41.0,80,75,2.24,JP,1586195258
224,port hedland,-20.32,118.57,75.2,88,40,5.82,AU,1586195258
225,beinamar,8.67,15.38,96.19,21,94,2.39,TD,1586195258
226,kahului,20.89,-156.47,73.0,88,20,4.7,US,1586195032
227,mareeba,-17.0,145.43,75.2,88,34,9.17,AU,1586195258
228,codrington,-38.27,141.97,51.85,70,100,2.44,AU,1586195258
